Nome,Acervo,Add,Arquivos e mídia,Coleção,Contexto Historico,Data de Produção,Dimensões,Doador,Estado de Conservação,Local de Origem,Material,Nº de Inventário,Período/Época,Responsável,Técnica,URL,URL Adicional
Carranca,Indígena (Guarani),No,Metadados/Carranca_-_Doao_do_Museu_do_Norte.jpg,"Arte Popular, Artefato Indígena, Patrimônio Material","  • A carranca é uma escultura entalhada em madeira, tradicionalmente utilizada como elemento protetor, associada a embarcações ou espaços comunitários.
  • Embora mais conhecida no contexto ribeirinho do Norte e Nordeste do Brasil, sua presença no acervo da Sala Indígena reforça a diversidade cultural e a circulação de objetos simbólicos entre diferentes regiões.
  • A peça, doada pelo Museu do Norte, apresenta traços estilizados e cores fortes, representando figuras de caráter apotropaico (destinadas a afastar maus espíritos).
  • Sua preservação permite compreender a dimensão estética e espiritual das culturas indígenas e populares brasileiras.
",,,Museu do Norte,Excelente,,Madeira entalhada e pintada,,,,"Entalhe manual em madeira, pintura artesanal",https://drive.google.com/file/d/1XMgvIfjVNnUANTn-RdbPY7tf_eBjCw-1/view?usp=drive_link,
,Indígena (Guarani),No,Metadados/Cesto_(Tcheto).jpg,"Artefato Indígena, Guarani, Utensílios Tradicionais","  • O cesto (tcheto) é um objeto artesanal produzido pelos povos Guarani a partir de fibras vegetais.
  • Utilizado para coleta, armazenamento e transporte de alimentos, sementes e objetos, o cesto evidencia o saber tradicional da cestaria indígena.
  • Seu trançado manual reflete técnicas transmitidas de geração em geração, reforçando a ligação com a natureza e a valorização dos recursos locais.
  • Além da função prática, o tcheto é também um símbolo de identidade cultural e da vida comunitária Guarani.",,,,Bom,São José - SC,Fibras vegetais trançadas,,,,"Trançado manual de fibras vegetais (cestaria indígena)
",https://drive.google.com/file/d/10MDqk3eA2S7C2g1KA4BQat8B79qxHGNy/view?usp=drive_link,
Cocar,Indígena (Guarani),No,Metadados/Cocar.jpg,"Adornos, Artefato Indígena, Guarani, Patrimônio Material","  • O cocar Guarani é um adorno cerimonial confeccionado com penas de aves e fibras vegetais.
  • Utilizado em rituais, celebrações e momentos de espiritualidade, o cocar simboliza a ligação com o sagrado, a natureza e os ancestrais.
  • As cores e a disposição das penas possuem significados específicos, reforçando a identidade cultural e a cosmologia Guarani.
  • Além da função ritual, o cocar é também um elemento estético e de pertencimento comunitário, transmitido como saber tradicional entre gerações.
",,,,Bom,São José - SC,"Penas de aves, fibras vegetais, fios coloridos",,,,"Montagem manual de penas, trançado de fibras e aplicação de fios coloridos",https://drive.google.com/file/d/13ynd5_ErTtY5jOkj2dFPu6bEhRgq2tK2/view?usp=drive_link,
"Pendentes e Contas de Concha – Sítio Ilha das Conchas (Sepultamento, 2001)",Indígena (Guarani),No,Metadados/Contas_de_Conchas.jpg,"Artefato Arqueológico, Artefato Indígena, Guarani, Patrimônio Material","  • Conjunto de pendentes e contas de concha encontrados em sepultamentos no Sítio Ilha das Conchas, durante escavações realizadas em outubro de 2001.
  • Os objetos, perfurados para uso como adornos, evidenciam práticas funerárias e rituais dos povos indígenas, reforçando a importância simbólica das conchas como elementos de ornamentação e espiritualidade.
  • A presença desses adornos em sepultamentos indica o valor cultural e religioso atribuído aos materiais naturais, além de revelar aspectos da estética e identidade comunitária Guarani.
  • A preservação dessas peças arqueológicas contribui para compreender os modos de vida e as práticas rituais indígenas na região de São José.
",Pré-colonial / escavação registrada em 22–30/10/2001,,Proveniente de escavação arqueológica – Sítio Ilha das Conchas,Bom,São José - SC,Conchas perfuradas (pendentes e contas),,,,Perfuração manual de conchas para uso como adornos,https://drive.google.com/file/d/1DzLK_qkv6mMZsWOqlMdJZlLoaJLNvu8E/view?usp=drive_link,
Crânio de Onça,Indígena (Guarani),No,Metadados/Crnio_de_Ona__Capturada_em_So_Jos_-_1920.jpg,"Amostras Naturais, Patrimônio Material","  • O crânio de onça é uma amostra animal preservada, proveniente de um exemplar capturado em São José no ano de 1920.
  • A onça, considerada um dos maiores felinos das Américas, possui forte simbolismo na cosmologia indígena, representando força, coragem e ligação espiritual com a natureza.
  • A preservação desse crânio no acervo do museu permite compreender tanto aspectos da fauna local quanto a relação dos povos indígenas com os animais de seu território.
  • Além de sua relevância biológica, o objeto carrega valor cultural e histórico, reforçando a memória da presença da onça na região de São José.",,,,Bom,,Osso (crânio animal),,,,Coleta e preservação de amostra animal natural,https://drive.google.com/file/d/1Jk86ponKSOAc8U_ZMjtWOjnAGFJfaZBi/view?usp=drive_link,
Esqueleto Humano,Indígena (Guarani),No,"Metadados/Esqueleto_Humano_2.jpg, Metadados/Esqueleto_Humano.jpg","Artefato Arqueológico, Artefato Indígena, Guarani",,,,,,São José - SC,Osso humano,,,,Escavação arqueológica e preservação antropológica,https://drive.google.com/file/d/1_0Cue_2BG_ztnQ1gUJnUokpCn2YFKS3r/view?usp=drive_link,https://drive.google.com/file/d/1GxZ8-7PHA-asYw-uL0eTG_MIt9xHfi18/view?usp=drive_link
Formação de osso de baleia encontrado em um Sambaqui,Indígena (Guarani),No,Metadados/Formao_de_osso_de_baleia_encontrado_em_um_Sambaqui.jpg,"Amostras Naturais, Artefato Arqueológico, Artefato Indígena, Guarani, Patrimônio Material","  • Fragmento ósseo de baleia encontrado em um sambaqui, sítio arqueológico caracterizado por depósitos de conchas, ossos e vestígios culturais acumulados ao longo de séculos.
  • Os ossos de grandes animais marinhos, como a baleia, eram incorporados às estruturas dos sambaquis, podendo ter função prática (como suporte ou ferramenta), simbólica (elemento ritual) ou arquitetônica (marcadores de sepultamento).
  • Essa peça evidencia a relação dos povos indígenas com o ambiente costeiro, revelando práticas de coleta, pesca e uso ritual da fauna marinha.
  • A preservação desse osso contribui para compreender a interação entre comunidades indígenas e o ecossistema marinho, além de reforçar o valor científico e cultural dos sambaquis como patrimônio arqueológico.
",Pré-colonial (achado arqueológico),,Proveniente de escavação arqueológica em sambaqui,Bom,São José - SC,Osso de baleia,,,,Coleta arqueológica e preservação de amostra óssea,https://drive.google.com/file/d/1UJQ_3bqUewNnaF9iBJ8MMybOF7ioWLVz/view?usp=drive_link,
Machado,Indígena (Guarani),No,Metadados/Machado.jpg,"Artefato Indígena, Ferramentas Tradicionais, Guarani, Patrimônio Material","  • O machado de pedra é um artefato confeccionado a partir de rochas duras, lascadas e polidas para formar lâmina e cabo.
  • Utilizado em atividades de corte, derrubada de árvores, preparo de alimentos e construção, o machado também possuía valor simbólico, podendo ser associado a rituais e à autoridade comunitária.
  • Sua confecção evidencia o domínio técnico dos povos indígenas sobre os recursos naturais e a transmissão de saberes artesanais entre gerações.
  • A preservação dessa peça permite compreender práticas cotidianas, modos de vida e a relação dos Guarani com o ambiente.",,,,Bom,São José - SC,Pedra lascada e polida,,,,Lascamento e polimento de pedra para formação de lâmina,https://drive.google.com/file/d/13MdeflvYr26vLAbhRXKPNgJr0UbwvcGk/view?usp=drive_link,
"Machado ",Indígena (Guarani),No,Metadados/Machado_N_1248.jpg,"Artefato Indígena, Ferramentas Tradicionais, Guarani, Patrimônio Material","  • O machado de pedra é um artefato confeccionado a partir de rochas duras, lascadas e polidas para formar lâmina e cabo.
  • Utilizado em atividades de corte, derrubada de árvores, preparo de alimentos e construção, o machado também possuía valor simbólico, podendo ser associado a rituais e à autoridade comunitária.
  • Sua confecção evidencia o domínio técnico dos povos indígenas sobre os recursos naturais e a transmissão de saberes artesanais entre gerações.
  • A preservação dessa peça permite compreender práticas cotidianas, modos de vida e a relação dos Guarani com o ambiente.",,,,Bom,São José - SC,Pedra lascada e polida,1248,,,Lascamento e polimento de pedra para formação de lâmina,https://drive.google.com/file/d/1suT54rwvB_d-XfGUDuopvwofqAOereCf/view?usp=drive_link,
Machado,Indígena (Guarani),No,Metadados/Machado_N_1249.jpg,"Artefato Indígena, Ferramentas Tradicionais, Guarani, Patrimônio Material","  • O machado de pedra é um artefato confeccionado a partir de rochas duras, lascadas e polidas para formar lâmina e cabo.
  • Utilizado em atividades de corte, derrubada de árvores, preparo de alimentos e construção, o machado também possuía valor simbólico, podendo ser associado a rituais e à autoridade comunitária.
  • Sua confecção evidencia o domínio técnico dos povos indígenas sobre os recursos naturais e a transmissão de saberes artesanais entre gerações.
  • A preservação dessa peça permite compreender práticas cotidianas, modos de vida e a relação dos Guarani com o ambiente.",,,,Bom,São José - SC,Pedra lascada e polida,,,,Lascamento e polimento de pedra para formação de lâmina,https://drive.google.com/file/d/178KKgdKg0D1fWPh-bVsRNhZ3zfgWNHNS/view?usp=drive_link,
Onça - Esculpida em Madeira (Iaguara),Indígena (Guarani),No,Metadados/Ona_-_Esculpida_em_Madeira_(Iaguara).jpg,"Artefato Indígena, Guarani, Patrimônio Material","  • A onça (iaguara) é um dos animais mais reverenciados na cosmologia indígena, símbolo de força, coragem e ligação espiritual com a natureza.
  • Essa escultura em madeira representa a figura da onça de forma estilizada, reforçando sua importância como guardiã e entidade protetora.
  • O trabalho artesanal evidencia técnicas tradicionais de entalhe e pintura, transmitidas entre gerações, e reflete a estética indígena aplicada a objetos de valor ritual e cultural.
  • A preservação dessa peça permite compreender a dimensão simbólica da fauna na vida comunitária Guarani e sua representação artística.",,,,Bom,São José - SC,Madeira entalhada e pintada,,,,"Entalhe manual em madeira, pintura artesanal",https://drive.google.com/file/d/1zGECARAVymevtPkkkpumRHNhzYDR0XeE/view?usp=drive_link,
Pássaro - Esculpido em Madeira (Gûyrá),Indígena (Guarani),No,Metadados/Pssaro_-_Esculpido_em_Madeira_(Gyr).jpg,"Arte e Simbolismo, Artefato Indígena, Guarani, Patrimônio Material","  • O pássaro (gûyrá) é uma figura de grande importância na cosmologia Guarani, associado à liberdade, ao canto e à comunicação espiritual.
  • Essa escultura em madeira evidencia o saber artesanal indígena, transmitido entre gerações, e reflete a estética tradicional aplicada a representações animais.
  • Além de sua função estética, o objeto possui valor simbólico, reforçando a ligação dos Guarani com os elementos da natureza e sua espiritualidade.
  • A preservação dessa peça permite compreender como a fauna é representada artisticamente e integrada ao universo cultural indígena.",,,,Bom,São José - SC,Madeira entalhada e pintada,,,,"Entalhe manual em madeira, pintura artesanal",https://drive.google.com/file/d/1qjuiI6-uA44GXKUpP8j2PP3zllUkzc9E/view?usp=drive_link,
Pedras de Quartzo e Diabásio (ICA 01 e 02),Indígena (Guarani),No,Metadados/Pedra_de_Quartzo_e_Diabsio_(_ICA_01_E_02).jpg,"Artefato Arqueológico, Artefato Indígena, Guarani, Patrimônio Material","As pedras de quartzo e diabásio são materiais líticos encontrados em contexto arqueológico, identificados como ICA 01 e ICA 02.
Esses minerais eram amplamente utilizados pelos povos indígenas para a confecção de ferramentas, instrumentos de corte e objetos de valor simbólico.
O quartzo, por sua dureza e brilho, possuía também relevância ritual, enquanto o diabásio era aproveitado pela resistência mecânica, ideal para lâminas e machados.
A preservação dessas peças evidencia o domínio técnico dos Guarani sobre os recursos naturais e sua integração entre função prática e significado espiritual.",,,,Regular,São José - SC,Quartzo e diabásio,,,,Seleção e uso de minerais para confecção de artefatos líticos,https://drive.google.com/file/d/1ufDpYbAH2Evq3gamEuLd1vvm6BozqEhP/view?usp=drive_link,
"
Peneira (Urupen)",Indígena (Guarani),No,Metadados/Peneira_(Urupen).jpg,"Artefato Indígena, Guarani, Utensílios Domésticos","  • A peneira (urupen) é um utensílio tradicional produzido pelos povos Guarani a partir de fibras vegetais trançadas.
  • Utilizada para separar grãos, farinhas e outros alimentos, desempenha papel essencial no cotidiano comunitário, evidenciando técnicas de cestaria e saberes transmitidos entre gerações.
  • Além da função prática, o urupen reflete a relação dos Guarani com os recursos naturais e a valorização do trabalho artesanal.
  • Sua preservação permite compreender práticas alimentares, modos de vida e a importância dos utensílios simples na organização comunitária indígena.",,,,,São José - SC,Fibras vegetais trançadas,,,,Trançado manual de fibras vegetais (cestaria indígena),https://drive.google.com/file/d/1ITwZJXCEj6pMa5SUiSH7_SnGIvai9hX3/view?usp=drive_link,
Ponta de Flecha,Indígena (Guarani),No,Metadados/Ponta_de_Flecha_N_0363.jpg,"Armamentos, Artefato Indígena, Guarani, Patrimônio Material","  • A ponta de flecha é um artefato confeccionado em pedra lascada, utilizado pelos povos indígenas em atividades de caça, pesca e defesa.
  • Além da função prática, possuía também valor simbólico, representando a habilidade técnica e a relação dos Guarani com o território e a natureza.
  • O processo de lascamento e polimento da pedra evidencia o domínio sobre técnicas líticas e a transmissão de saberes entre gerações.
  • A preservação dessa peça arqueológica contribui para compreender os modos de vida, a subsistência e a cosmologia indígena.",,,,Bom,São José - SC,Pedra lascada (lítica),0363,,,Lascamento e polimento de pedra para formação de ponta,https://drive.google.com/file/d/1V1E35cMqT720ylmz6M0kJo66zJ8QPKwd/view?usp=drive_link,
Ponta de Flecha,Indígena (Guarani),Yes,Metadados/Ponta_de_Flecha_N_0364.jpg,"Armamentos, Artefato Indígena, Guarani, Patrimônio Material","  • A ponta de flecha é um artefato confeccionado em pedra lascada, utilizado pelos povos indígenas em atividades de caça, pesca e defesa.
  • Além da função prática, possuía também valor simbólico, representando a habilidade técnica e a relação dos Guarani com o território e a natureza.
  • O processo de lascamento e polimento da pedra evidencia o domínio sobre técnicas líticas e a transmissão de saberes entre gerações.
  • A preservação dessa peça arqueológica contribui para compreender os modos de vida, a subsistência e a cosmologia indígena.",,,,Bom,São José - SC,Pedra lascada (lítica),0364,,,Lascamento e polimento de pedra para formação de ponta,https://drive.google.com/file/d/1J5IzTmF0ieN_ojeSPIegHMF26rku_5bs/view?usp=drive_link,
Ponta de Flecha,Indígena (Guarani),Yes,Metadados/Ponta_de_Flecha_N_1236.jpg,"Armamentos, Artefato Indígena, Guarani, Patrimônio Material","  • A ponta de flecha é um artefato confeccionado em pedra lascada, utilizado pelos povos indígenas em atividades de caça, pesca e defesa.
  • Além da função prática, possuía também valor simbólico, representando a habilidade técnica e a relação dos Guarani com o território e a natureza.
  • O processo de lascamento e polimento da pedra evidencia o domínio sobre técnicas líticas e a transmissão de saberes entre gerações.
  • A preservação dessa peça arqueológica contribui para compreender os modos de vida, a subsistência e a cosmologia indígena.",,,,Bom,São José - SC,Pedra lascada (lítica),0365,,,Lascamento e polimento de pedra para formação de ponta,https://drive.google.com/file/d/1dbcCAwHfjMgawTOw58jiceTyXyA_IWpr/view?usp=drive_link,
Ponta de Flecha,Indígena (Guarani),Yes,Metadados/Ponta_de_Flecha_N_1237.jpg,"Armamentos, Artefato Indígena, Guarani, Patrimônio Material","  • A ponta de flecha é um artefato confeccionado em pedra lascada, utilizado pelos povos indígenas em atividades de caça, pesca e defesa.
  • Além da função prática, possuía também valor simbólico, representando a habilidade técnica e a relação dos Guarani com o território e a natureza.
  • O processo de lascamento e polimento da pedra evidencia o domínio sobre técnicas líticas e a transmissão de saberes entre gerações.
  • A preservação dessa peça arqueológica contribui para compreender os modos de vida, a subsistência e a cosmologia indígena.",,,,Bom,São José - SC,Pedra lascada (lítica),0364,,,Lascamento e polimento de pedra para formação de ponta,https://drive.google.com/file/d/110sYae82nKbeDdIm3eilvIiBLekZSIAc/view?usp=drive_link,
Pote de Cozimento (Ombodjyaty),Indígena (Guarani),No,Metadados/Pote_de_Cozimento_(Ombodjyaty).jpg,"Artefato Indígena, Cerâmica, Guarani, Utensílios Tradicionais","  • O pote de cozimento (ombodjyaty) é um utensílio cerâmico produzido artesanalmente pelos povos Guarani.
  • Utilizado para preparar alimentos, especialmente cozidos e caldos, desempenha papel essencial na vida comunitária e na organização doméstica.
  • A cerâmica Guarani é marcada por técnicas tradicionais de modelagem e queima, transmitidas entre gerações, e reflete tanto a funcionalidade quanto a estética indígena.
  • Além da função prática, o pote também possui valor simbólico, representando a ligação com a terra e os saberes ancestrais.
  • Sua preservação permite compreender práticas alimentares, modos de vida e a importância da cerâmica na cultura material indígena.
",,,,Bom,São José - SC,Cerâmica (argila modelada e queimada),,,,"Modelagem manual em argila, queima em forno ou fogueira tradicional",https://drive.google.com/file/d/14RxphZUr-ugIjATAEZPtYBWRQTxid1yK/view?usp=drive_link,
Zarabatana (Guyapa Pytu),Indígena (Guarani),No,Metadados/Zarabatana_(Guyapa_Pytu).jpg,"Armamentos, Artefato Indígena, Guarani, Patrimônio Material","  • A zarabatana (guyapa pytu) é um instrumento confeccionado em madeira ou bambu, utilizado pelos povos Guarani para caça de pequenos animais e aves.
  • Funciona por meio da propulsão de dardos ou flechas leves, soprados pelo caçador, exigindo grande habilidade e precisão.
  • Além da função prática, a zarabatana também possui valor simbólico, representando a relação dos Guarani com a natureza e a transmissão de técnicas tradicionais de sobrevivência.
  • Sua preservação no acervo permite compreender práticas de subsistência, modos de vida e a importância dos instrumentos de caça na cultura indígena.
",,,,Excelente,São José - SC,"Bambu, fibras vegetais",,,,"Entalhe e montagem manual de tubo de sopro, preparo de dardos",https://drive.google.com/file/d/1wVbHIJsIZsIIavo3hncBbjqjQKG3ESk5/view?usp=drive_link,
Zoólito,Indígena (Guarani),No,Metadados/Zolito_N_1255.jpg,"Arte e Simbolismo, Artefato Indígena, Artesanato, Escultura, Guarani, Patrimônio Material","  • O zoólito é um artefato lítico esculpido em forma de animal, representando a ligação espiritual dos povos indígenas com a fauna e a natureza.
  • Essas peças eram confeccionadas em pedra polida e podiam ter função ritual, simbólica ou ornamental, reforçando a cosmologia Guarani e sua visão integrada do mundo natural.
  • O Zoólito N° 1255 é um testemunho da habilidade técnica e da estética indígena, revelando tanto o domínio sobre o trabalho em pedra quanto a importância dos animais como símbolos de força, proteção e ancestralidade.
  • Sua preservação contribui para compreender práticas rituais e artísticas, além de reforçar a memória da presença indígena na região de São José.
",,,,Bom,São José - SC,Pedra Polida,1255,,,Escultura e polimento manual em pedra,https://drive.google.com/file/d/1aQG4ePmt-hW17f3l7ihW-IulYRRrCeeT/view?usp=drive_link,
Zoólito,Indígena (Guarani),No,Metadados/Zolito_N_1257.jpg,"Arte e Simbolismo, Artefato Indígena, Artesanato, Escultura, Guarani, Patrimônio Material","  • O zoólito é um artefato lítico esculpido em forma de animal, representando a ligação espiritual dos povos indígenas com a fauna e a natureza.
  • Essas peças eram confeccionadas em pedra polida e podiam ter função ritual, simbólica ou ornamental, reforçando a cosmologia Guarani e sua visão integrada do mundo natural.
  • O Zoólito N° 1255 é um testemunho da habilidade técnica e da estética indígena, revelando tanto o domínio sobre o trabalho em pedra quanto a importância dos animais como símbolos de força, proteção e ancestralidade.
  • Sua preservação contribui para compreender práticas rituais e artísticas, além de reforçar a memória da presença indígena na região de São José.
",,,,Bom,São José - SC,Pedra Polida,1257,,,Escultura e polimento manual em pedra,https://drive.google.com/file/d/1Xk-q1WOUJF7LLUHBBQQ_uAFRBYKmTAS2/view?usp=drive_link,
Zoólito,Indígena (Guarani),No,Metadados/Zolito_N_12565.jpg,"Arte e Simbolismo, Artefato Indígena, Artesanato, Escultura, Guarani, Patrimônio Material","  • O zoólito é um artefato lítico esculpido em forma de animal, representando a ligação espiritual dos povos indígenas com a fauna e a natureza.
  • Essas peças eram confeccionadas em pedra polida e podiam ter função ritual, simbólica ou ornamental, reforçando a cosmologia Guarani e sua visão integrada do mundo natural.
  • O Zoólito N° 1255 é um testemunho da habilidade técnica e da estética indígena, revelando tanto o domínio sobre o trabalho em pedra quanto a importância dos animais como símbolos de força, proteção e ancestralidade.
  • Sua preservação contribui para compreender práticas rituais e artísticas, além de reforçar a memória da presença indígena na região de São José.
",,,,Regular,São José - SC,Pedra Polida,1256,,,Escultura e polimento manual em pedra,https://drive.google.com/file/d/15pu9VfamLraORx4uc6qrdJ8LCeFc-19T/view?usp=drive_link,
Castiçal,Religiosa,No,"Metadados/20260415_175836.jpg, Metadados/20260415_175843.jpg",Religioso,,,,,,,,,,,,https://drive.google.com/file/d/1XRPzb4_JPy5O2tedV49ZFBP-Q31ZAyli/view?usp=drive_link,https://drive.google.com/file/d/1E0HUr1rxKsh9j0ulHXBLvdKv7mt5gFGA/view?usp=drive_link
Quadro em relevo metálico da coroa do Divino Espírito Santo,Religiosa,No,Metadados/20260415_180002.jpg,"Arte Sacra, Religioso",,,,,,,,,,,,https://drive.google.com/file/d/1Hn1SmGZpKl_2mem_QKnEqu6O9YSzudKW/view?usp=drive_link,
Leque de Pedal,Religiosa,No,Metadados/Leque_de_Pedal.jpg,Mobiliário,,,,,Bom,,,,,,,https://drive.google.com/file/d/1QuXoh8ltggVLhi_zQtnj3DZAQYrxqNC0/view?usp=drive_link,
Estante/Porta Missal,Religiosa,No,Metadados/Estante___Porta_Missal_N_0091_-_Aprox__1930.jpg,"Mobiliário, Religioso",,Aproximadamente 1930,,,,,,0091,,,,https://drive.google.com/file/d/1Qdc9Rp3XTYmXm6qj_Fld2lSBzN7yiFoq/view?usp=drive_link,
Escadaria principal,Casarão/Engenho,No,"Metadados/20260415_175002.jpg, Metadados/20260415_175108.jpg, Metadados/20260415_175120.jpg",Arquitetura,"O prédio, localizado no Centro Histórico e intacto em sua construção original, foi a primeira edificação a ser tombada como patrimônio do Município. Já abrigou a Guarda Nacional, serviu de residência para a família Ferreira de Mello, Escola Militar, Casa de comércio, senzala e cavalaria. Foi restaurado em 1984 e, quatro anos mais tarde, passou a abrigar o Museu Histórico.",Aproximadamente 1772,,,Bom,,Madeira,,Aproximadamente seculo XVIII,,,https://drive.google.com/file/d/1HmKfyfCovbPk2Q1jbtU7q_nvPI0Ea8az/view?usp=drive_link,https://drive.google.com/file/d/12L20EejuoTMm-HaX9T72TGxS-MLmb41q/view?usp=drive_link
Placa de Inauguração (Biblioteca Pública Municipal e Museu Histórico),Casarão/Engenho,No,"Metadados/20260415_175020.jpg, Metadados/Placa_de_Inaugurao_(Biblioteca_Pblica_Municipal_e_Museu_Histrico).jpg",Arquitetura,,1988,,,,,,,,,,https://drive.google.com/file/d/1PSM23by8wbu3dp-VOXE6FA1X4Zpt3EsM/view?usp=drive_link,https://drive.google.com/file/d/19Dkvhj4bOrd5GtP5NEF-JkpFjU1eBxG9/view?usp=drive_link
Arandela,Casarão/Engenho,No,Metadados/20260415_175030.jpg,Arquitetura,,,,,,,"Madeira, Metal e Vidro",,,,,https://drive.google.com/file/d/1AANMUru0Vqe8SFbdvpbpT2rDrqedFneS/view?usp=drive_link,
Estátua,Casarão/Engenho,No,Metadados/20260415_175056.jpg,Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/1mSIv0MEhyV0i__sW3xvbc938Du3J-xj5/view?usp=drive_link,
Lustre,Casarão/Engenho,No,Metadados/20260415_175202.jpg,Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/1tkEMk0koBO7G7sgu_nexgFcF-KDx59xa/view?usp=drive_link,
Fundos do Casarão,Casarão/Engenho,No,"Metadados/20260415_175252.jpg, Metadados/20260415_175304.jpg, Metadados/20260415_175316.jpg",Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/13C6Ir7rdPeM7LE167UVP1CXNxuQzFMq1/view?usp=drive_link,https://drive.google.com/file/d/1Gp05np8l4X_xbbT56EIYLVB4ENfa_z8F/view?usp=drive_link
Engenho de Farinha de Mandioca,Casarão/Engenho,No,"Metadados/20260415_175404.jpg, Metadados/20260415_175445.jpg, Metadados/20260415_175516.jpg, Metadados/Engenho_de_Farinha_de_Mandioca_(1).jpg, Metadados/Engenho_de_Farinha_de_Mandioca_(5).jpg, Metadados/Engenho_de_Farinha_de_Mandioca_(8).jpg, Metadados/20260415_175532.jpg, Metadados/20260415_175550.jpg, Metadados/20260415_175558.jpg",Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/1sgnTqp5KmvoxPrcEGXA2KPobvAS2eQor/view?usp=drive_link,https://drive.google.com/file/d/1_FSJkb9DAM_j8FJYzj9eqf9asy5EbSSA/view?usp=sharing
Escadarias de Acesso ao Engenho,Casarão/Engenho,No,"Metadados/20260415_175335.jpg, Metadados/20260415_175418.jpg",Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/1NywVudKk9h6FPtC9SZXfjHl4eaac3UDi/view?usp=drive_link,https://drive.google.com/file/d/1vCyRzeHxunJediktaViJfJiRwS5PKXwx/view?usp=drive_link
Tacho,Casarão/Engenho,No,Metadados/Tacho.jpg,Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/1PzboTvDK9OodEyTQSyhI9n2jBQmWm-Ml/view?usp=drive_link,
Fachada do Casarão,Casarão/Engenho,No,"Metadados/Casaro.jpg, Metadados/Fachada_do_Casaro.jpg",Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/1QioXs0wuVBrKmbUsGEHLFFe1g6H_Ywdz/view?usp=drive_link,https://drive.google.com/file/d/1dPdsqfjKBm_dlU9viKbEKMiAmEjfPCoN/view?usp=drive_link
Porta Principal,Casarão/Engenho,No,Metadados/Porta_Principal.jpg,Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/1sTT6kKpalsXEFFzzYaGJkZv7NLmMCrsT/view?usp=drive_link,
Sino de Parede em Bronze,Casarão/Engenho,No,Metadados/Sino_de_parede_em_Bronze.jpg,Arquitetura,,,,,,,,,,,,https://drive.google.com/file/d/1AZgW2k0RxXBqvmfCbMrYFp5FfZTxP1VK/view?usp=drive_link,
,,No,,,,,,,,,,,,,,,
